City,Location,RegionSeriesName,RegionNameSource,State
Chattanooga,"35.066464,-85.247065","Chattanooga, TN-GA",FHFA,TN
Cheyenne,"41.152195,-104.783238","Cheyenne, WY",FHFA,WY
Chicago,"41.837551,-87.681844","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
Aurora,"41.763455,-88.290099","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
Elgin,"42.039639,-88.321709","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
Joliet,"41.518066,-88.158354","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
Evanston,"42.046391,-87.694353","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
North Chicago,"42.316696,-87.859201","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
DeKalb,"41.930614,-88.74783","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
Gary,,"Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
East Chicago,,"Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
Kankakee,"41.103202,-87.867177","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
Kenosha,,"Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
Chico,"39.755159,-121.818797",,,CA
Paradise,"39.754192,-121.6064",,,CA
Cincinnati,"39.139902,-84.506447","Cincinnati-Middletown, OH-KY-IN",FHFA,OH
Hamilton,"39.394328,-84.565522","Cincinnati-Middletown, OH-KY-IN",FHFA,OH
Middletown,"39.502952,-84.364893","Cincinnati-Middletown, OH-KY-IN",FHFA,OH
Clarksville,"36.56643,-87.345216",,,TN
Hopkinsville,,,,TN
Akron,"41.080456,-81.52143","Cleveland-Elyria-Mentor, OH",FHFA,OH
Kent,"41.149143,-81.361122","Cleveland-Elyria-Mentor, OH",FHFA,OH
Cleveland,"41.478138,-81.679486","Cleveland-Elyria-Mentor, OH",FHFA,OH
Lorain,"41.438805,-82.179722","Cleveland-Elyria-Mentor, OH",FHFA,OH
Elyria,"41.373539,-82.108008","Cleveland-Elyria-Mentor, OH",FHFA,OH
Colorado Springs,"38.867255,-104.760749","Colorado Springs, CO",FHFA,CO
Columbia,"38.947939,-92.326097","Columbia, MO",FHFA,MO
Columbia,"34.029783,-80.896566","Columbia, SC",FHFA,SC
Columbus,"32.510197,-84.874946","Columbus, GA-AL",FHFA,GA
Columbus,"39.984799,-82.985044","Columbus, OH",FHFA,OH
Newark,"40.069732,-82.424925","Columbus, OH",FHFA,OH
Lancaster,"39.724737,-82.605275","Columbus, OH",FHFA,OH
Corpus Christi,"27.754252,-97.173385","Corpus Christi, TX",FHFA,TX
Corvallis,"44.569949,-123.278286","Corvallis, OR",FHFA,OR
Cumberland,"39.651739,-78.757948","Cumberland, MD-WV",FHFA,MD
Dallas,"32.794176,-96.765503","Dallas-Plano-Irving, TX  (MSAD)",FHFA,TX
Irving,"32.857748,-96.970022","Dallas-Plano-Irving, TX  (MSAD)",FHFA,TX
Denton,"33.215139,-97.141687","Dallas-Plano-Irving, TX  (MSAD)",FHFA,TX
Fort Worth,"32.779542,-97.346335","Dallas-Plano-Irving, TX  (MSAD)",FHFA,TX
Arlington,"32.700708,-97.124691","Dallas-Plano-Irving, TX  (MSAD)",FHFA,TX
Danville,"36.583334,-79.408071","Danville, VA",FHFA,VA
Davenport,"41.554104,-90.603997","Davenport-Moline-Rock Island, IA-IL",FHFA,IA
Moline,,"Davenport-Moline-Rock Island, IA-IL",FHFA,IA
Rock Island,,"Davenport-Moline-Rock Island, IA-IL",FHFA,IA
Dayton,"39.777394,-84.199632","Dayton, OH",FHFA,OH
Springfield,"39.933758,-83.795757","Dayton, OH",FHFA,OH
Fairborn,"39.795267,-84.011271","Dayton, OH",FHFA,OH
Daytona Beach,"29.197328,-81.088145",,,FL
Decatur,"34.573039,-86.991684","Decatur, AL",FHFA,AL
Decatur,"39.855983,-88.933746","Decatur, IL",FHFA,IL
Boulder,"40.027443,-105.25174","Denver-Aurora-Broomfield, CO",FHFA,CO
Longmont,"40.169853,-105.101841","Denver-Aurora-Broomfield, CO",FHFA,CO
Denver,"39.761849,-104.880625","Denver-Aurora-Broomfield, CO",FHFA,CO
Greeley,"40.414406,-104.771245","Denver-Aurora-Broomfield, CO",FHFA,CO
Des Moines,"41.573946,-93.616708","Des Moines-West Des Moines, IA",FHFA,IA
Ann Arbor,"42.275641,-83.731333","Detroit-Livonia-Dearborn, MI  (MSAD)",FHFA,MI
Detroit,"42.383038,-83.102237","Detroit-Livonia-Dearborn, MI  (MSAD)",FHFA,MI
Dearborn,"42.313057,-83.211488","Detroit-Livonia-Dearborn, MI  (MSAD)",FHFA,MI
Pontiac,"42.649228,-83.287363","Detroit-Livonia-Dearborn, MI  (MSAD)",FHFA,MI
Port Huron,"42.993766,-82.433743","Detroit-Livonia-Dearborn, MI  (MSAD)",FHFA,MI
Flint,"43.024425,-83.691983","Detroit-Livonia-Dearborn, MI  (MSAD)",FHFA,MI
Dothan,"31.233698,-85.406823","Dothan, AL",FHFA,AL
Dover,"39.160606,-75.521659","Dover, DE",FHFA,DE
Dubuque,"42.502385,-90.705102","Dubuque, IA",FHFA,IA
Duluth,"46.783229,-92.11871",,,MN
Superior,,,,MN
Eau Claire,"44.821307,-91.494844","Eau Claire, WI",FHFA,WI
El Paso,"31.84836,-106.426979","El Paso, TX",FHFA,TX
Elkhart,"41.691167,-85.965132","Elkhart-Goshen, IN",FHFA,IN
Goshen,"41.574921,-85.830793","Elkhart-Goshen, IN",FHFA,IN
Elmira,"42.093388,-76.80961","Elmira, NY",FHFA,NY
Enid,"36.405687,-97.869862",,,OK
Erie,"42.116594,-80.073503","Erie, PA",FHFA,PA
Eugene,"44.056748,-123.116207","Eugene-Springfield, OR",FHFA,OR
Springfield,"44.053947,-122.981225","Eugene-Springfield, OR",FHFA,OR
Evansville,"37.987734,-87.534703",,,IN
Henderson,,,,IN
Fargo,"46.865206,-96.829005",,,ND
Moorhead,,,,ND
Fayetteville,"35.08511,-78.980263","Fayetteville, NC",FHFA,NC
Fayetteville,"36.071561,-94.16654","Fayetteville-Springdale-Rogers, AR-MO",FHFA,AR
Springdale,"36.186549,-94.15304","Fayetteville-Springdale-Rogers, AR-MO",FHFA,AR
Rogers,"36.315975,-94.154618","Fayetteville-Springdale-Rogers, AR-MO",FHFA,AR
Flagstaff,"35.185217,-111.620726","Flagstaff, AZ-UT",FHFA,AZ
Florence,"34.830349,-87.666096","Florence, SC",FHFA,AL
Florence,"34.17756,-79.782594","Florence, SC",FHFA,SC
Fort Collins,"40.548216,-105.064833","Fort Collins-Loveland, CO",FHFA,CO
Loveland,"40.41708,-105.061855","Fort Collins-Loveland, CO",FHFA,CO
Fort Myers,"26.61901,-81.831956",,,FL
Cape Coral,"26.643119,-81.997331",,,FL
Fort Pierce,"27.430257,-80.335924",,,FL
Port St. Lucie,"27.280951,-80.383762",,,FL
Fort Smith,"35.349276,-94.370883","Fort Smith, AR-OK",FHFA,AR
Fort Walton Beach,"30.424738,-86.620332",,,FL
Fort Wayne,"41.088173,-85.14388","Fort Wayne, IN",FHFA,IN
Fresno,"36.782674,-119.794492","Fresno, CA",FHFA,CA
Madera,"36.963983,-120.080244","Fresno, CA",FHFA,CA
Gadsden,"34.009563,-86.015643","Gadsden, AL",FHFA,AL
Gainesville,"29.678831,-82.345878","Gainesville, FL",FHFA,FL
Glens Falls,"43.31116,-73.645287","Glens Falls, NY",FHFA,NY
Goldsboro,"35.379951,-77.973247","Goldsboro, NC",FHFA,NC
Grand Forks,"47.912789,-97.07501","Grand Forks, ND-MN",FHFA,ND
Grand Junction,"39.086366,-108.568747","Grand Junction, CO",FHFA,CO
Grand Rapids,"42.961156,-85.65557","Grand Rapids-Wyoming, MI",FHFA,MI
Muskegon,"43.228218,-86.255415","Grand Rapids-Wyoming, MI",FHFA,MI
Holland,"42.768074,-86.098598","Grand Rapids-Wyoming, MI",FHFA,MI
Great Falls,"47.501439,-111.299975","Great Falls, MT",FHFA,MT
Green Bay,"44.520676,-87.984169","Green Bay, WI",FHFA,WI
Greensboro,"36.096484,-79.827108",,,NC
Winston-Salem,"36.103262,-80.260578",,,NC
High Point,"35.98547,-79.990243",,,NC
Burlington,"36.082561,-79.459748",,,NC
Greenville,"35.596611,-77.375153","Greenville, NC",FHFA,NC
Greenville,"34.836902,-82.362997","Greenville, NC",FHFA,SC
Spartanburg,"34.942294,-81.926907","Greenville, NC",FHFA,SC
Anderson,"34.521166,-82.647326","Greenville, NC",FHFA,SC
Harrisburg,"40.275891,-76.88502",,,PA
Lebanon,"40.341192,-76.422735",,,PA
Carlisle,,,,PA
Hartford,"41.766045,-72.683339","Hartford-West Hartford-East Hartford, CT",FHFA,CT
Middletown,"41.549534,-72.657719","Hartford-West Hartford-East Hartford, CT",FHFA,CT
Hattiesburg,"31.307296,-89.317412","Hattiesburg, MS",FHFA,MS
Hickory,"35.741466,-81.32377",,,NC
Morganton,"35.740771,-81.700297",,,NC
Lenoir,"35.905667,-81.526969",,,NC
Honolulu,"21.325852,-157.845315","Honolulu, HI",FHFA,HI
Houma,"29.57863,-90.708032","Houma-Bayou Cane-Thibodaux, LA",FHFA,LA
Galveston,"29.18326,-94.969755","Houston-Sugar Land-Baytown, TX",FHFA,TX
Texas City,"29.433717,-94.892695","Houston-Sugar Land-Baytown, TX",FHFA,TX
Houston,"29.780472,-95.386343","Houston-Sugar Land-Baytown, TX",FHFA,TX
Baytown,"29.756974,-94.967955","Houston-Sugar Land-Baytown, TX",FHFA,TX
Conroe,"30.316017,-95.469993","Houston-Sugar Land-Baytown, TX",FHFA,TX
Huntington,"38.410651,-82.434689","Huntington-Ashland, WV-KY-OH",FHFA,WV
Ashland,,"Huntington-Ashland, WV-KY-OH",FHFA,WV
Huntsville,"34.784271,-86.538996","Huntsville, AL",FHFA,AL
Indianapolis,,"Indianapolis-Carmel, IN",FHFA,IN
Anderson,"40.089766,-85.689449","Indianapolis-Carmel, IN",FHFA,IN
Iowa City,"41.656041,-91.531272","Iowa City, IA",FHFA,IA
Jackson,,,,I 
Jackson,"32.315831,-90.212823","Jackson, MS",FHFA,MS
Jackson,"35.649137,-88.830597","Jackson, TN",FHFA,TN
Jacksonville,"30.337019,-81.661302","Jacksonville, FL",FHFA,FL
Jacksonville,"34.736866,-77.392666","Jacksonville, NC",FHFA,NC
Jamestown,"42.097603,-79.236135",,,NY
Janesville,"42.684699,-89.01317","Janesville, WI",FHFA,WI
Beloit,"42.523506,-89.01766","Janesville, WI",FHFA,WI
Johnson City,"36.338218,-82.377427",,,TN
Kingsport,"36.524936,-82.547384",,,TN
Bristol,"36.558788,-82.216961",,,TN
Bristol,"36.558788,-82.216961",,,TN
Johnstown,"40.326132,-78.919139","Johnstown, PA",FHFA,PA
Jonesboro,"35.819733,-90.67905","Jonesboro, AR",FHFA,AR
Joplin,"37.077509,-94.502262","Joplin, MO",FHFA,MO
Kalamazoo,"42.275164,-85.588501","Kalamazoo-Portage, MI",FHFA,MI
Battle Creek,"42.299176,-85.229267","Kalamazoo-Portage, MI",FHFA,MI
Kansas City,"39.125212,-94.551136","Kansas City, MO-KS",FHFA,MO
Kansas City,"39.125212,-94.551136","Kansas City, MO-KS",FHFA,MO
Olathe,,"Kansas City, MO-KS",FHFA,MO
Leavenworth,,"Kansas City, MO-KS",FHFA,MO
Killeen,"31.077669,-97.731952","Killeen-Temple-Fort Hood, TX",FHFA,TX
Temple,"31.105656,-97.382522","Killeen-Temple-Fort Hood, TX",FHFA,TX
Knoxville,"35.970875,-83.946479","Knoxville, TN",FHFA,TN
Oak Ridge,"35.966483,-84.290549","Knoxville, TN",FHFA,TN
Kokomo,"40.475317,-86.132763","Kokomo, IN",FHFA,IN
La Crosse,"43.825866,-91.224245","La Crosse, WI-MN",FHFA,WI
Lafayette,"30.211573,-92.031394","Lafayette, LA",FHFA,LA
Lafayette,"40.399425,-86.861699","Lafayette, IN",FHFA,IN
Lake Charles,"30.202699,-93.214742","Lake Charles, LA",FHFA,LA
Lakeland,"28.055964,-81.953682","Lakeland-Winter Haven, FL",FHFA,FL
Winter Haven,"28.045835,-81.732742","Lakeland-Winter Haven, FL",FHFA,FL
Lancaster,"40.042061,-76.30099","Lancaster, PA",FHFA,PA
Lansing,"42.709787,-84.556222","Lansing-East Lansing, MI",FHFA,MI
East Lansing,"42.748913,-84.482442","Lansing-East Lansing, MI",FHFA,MI
Laredo,"27.547681,-99.486931","Laredo, TX",FHFA,TX
Las Cruces,"32.326444,-106.789695","Las Cruces, NM",FHFA,NM
Las Vegas,"36.227712,-115.264045","Las Vegas-Paradise, NV",FHFA,NV
Lawrence,"38.960323,-95.263223","Lawrence, KS",FHFA,KS
Lawton,"34.617048,-98.4204","Lawton, OK",FHFA,OK
Lewiston,"44.089594,-70.172185","Lewiston-Auburn, ME",FHFA,ME
Auburn,"44.084537,-70.249649","Lewiston-Auburn, ME",FHFA,ME
Lexington-Fayette,,"Lexington-Fayette, KY",FHFA,KY
Lima,"40.740679,-84.112091","Lima, OH",FHFA,OH
Lincoln,"40.808957,-96.680354","Lincoln, NE",FHFA,NE
Little Rock,"34.725432,-92.358556","Little Rock-North Little Rock-Conway, AR",FHFA,AR
North Little Rock,"34.781873,-92.234937","Little Rock-North Little Rock-Conway, AR",FHFA,AR
Jacksonville,"34.878455,-92.132186","Little Rock-North Little Rock-Conway, AR",FHFA,AR
Conway,"35.074323,-92.467072","Little Rock-North Little Rock-Conway, AR",FHFA,AR
Longview,"32.519305,-94.76481",,,TX
Marshall,"32.539159,-94.353173",,,TX
Los Angeles,"34.019394,-118.410825","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
Long Beach,"33.809102,-118.155327","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
Pasadena,"34.160592,-118.139593","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
Lancaster,"34.693558,-118.175305","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
Santa Ana,"33.736478,-117.882593","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
Anaheim,"33.855497,-117.760071","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
Irvine,"33.678399,-117.771254","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
Riverside,"33.938143,-117.393168","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
San Bernardino,"34.139261,-117.295317","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
Palm Springs,"33.800898,-116.537993","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
Hemet,"33.735226,-116.994604","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
Temecula,"33.501923,-117.124563","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
Palm Desert,"33.738363,-116.363619","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
San Buenaventura (Ventura),"34.268127,-119.255026","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
Louisville,,"Louisville-Jefferson County, KY-IN",FHFA,KY
New Albany,,"Louisville-Jefferson County, KY-IN",FHFA,KY
Lubbock,"33.566479,-101.886677","Lubbock, TX",FHFA,TX
Lynchburg,"37.399016,-79.195458","Lynchburg, VA",FHFA,VA
Macon,"32.830953,-83.648918","Macon, GA",FHFA,GA
Madison,"43.087806,-89.430121","Madison, WI",FHFA,WI
Mansfield,"40.76672,-82.53082","Mansfield, OH",FHFA,OH
Mayaguez zona urbana,,,,PR
McAllen,"26.218513,-98.246145","McAllen-Edinburg-Mission, TX",FHFA,TX
Edinburg,"26.314392,-98.163196","McAllen-Edinburg-Mission, TX",FHFA,TX
Mission,"26.202638,-98.32148","McAllen-Edinburg-Mission, TX",FHFA,TX
Medford,"42.336896,-122.854244",,,OR
Ashland,"42.192172,-122.700426",,,OR
Melbourne,"28.116326,-80.645713",,,FL
Titusville,"28.573368,-80.819404",,,FL
Palm Bay,"27.985624,-80.662621",,,FL
Memphis,"35.103543,-89.978498","Memphis, TN-MS-AR",FHFA,TN
West Memphis,,"Memphis, TN-MS-AR",FHFA,TN
Merced,"37.305577,-120.477717","Merced, CA",FHFA,CA
Fort Lauderdale,"26.141305,-80.143896","Miami-Miami Beach-Kendall, FL  (MSAD)",FHFA,FL
Miami,"25.775163,-80.208615","Miami-Miami Beach-Kendall, FL  (MSAD)",FHFA,FL
Miami Beach,"25.815265,-80.139721","Miami-Miami Beach-Kendall, FL  (MSAD)",FHFA,FL
Milwaukee,"43.063348,-87.966695","Milwaukee-Waukesha-West Allis, WI",FHFA,WI
Waukesha,"43.009084,-88.245062","Milwaukee-Waukesha-West Allis, WI",FHFA,WI
Racine,"42.728284,-87.807086","Milwaukee-Waukesha-West Allis, WI",FHFA,WI
Minneapolis,"44.963324,-93.268284","Minneapolis-St. Paul-Bloomington, MN-WI",FHFA,MN
St. Paul,"44.94887,-93.103855","Minneapolis-St. Paul-Bloomington, MN-WI",FHFA,MN
Missoula,"46.869322,-114.010346","Missoula, MT",FHFA,MT
Mobile,"30.668426,-88.100226","Mobile, AL",FHFA,AL
Modesto,"37.660909,-120.989052","Modesto, CA",FHFA,CA
Turlock,"37.505214,-120.858764","Modesto, CA",FHFA,CA
Monroe,"32.519552,-92.077482","Monroe, LA",FHFA,LA
Montgomery,"32.346251,-86.268593","Montgomery, AL",FHFA,AL
Muncie,"40.198978,-85.393346","Muncie, IN",FHFA,IN
Myrtle Beach,"33.710801,-78.885862","Myrtle Beach-North Myrtle Beach-Conway, SC",FHFA,SC
Naples,"26.14994,-81.795215","Naples-Marco Island, FL",FHFA,FL
Nashville-Davidson,,"Nashville-Davidson--Murfreesboro--Franklin, TN",FHFA,TN
Murfreesboro,"35.852209,-86.416062","Nashville-Davidson--Murfreesboro--Franklin, TN",FHFA,TN
New London,"41.330607,-72.093918",,,CT
Norwich,"41.54786,-72.089488",,,CT
New Orleans,"30.068636,-89.939007","New Orleans-Metairie-Kenner, LA",FHFA,LA
Slidell,"30.289335,-89.783279","New Orleans-Metairie-Kenner, LA",FHFA,LA
Bridgeport,"41.187386,-73.195734","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,CT
Danbury,"41.401839,-73.472285","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,CT
Poughkeepsie,,"New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NT
Jersey City,"40.711417,-74.06476","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NJ
Bayonne,"40.662411,-74.110228","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NJ
Dover,"40.8856,-74.559163","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NJ
New Haven,"41.310809,-72.924953","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,CT
Meriden,"41.536777,-72.794543","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,CT
New York,"40.664274,-73.9385","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NY
White Plains,"41.025336,-73.752137","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NY
Newark,"40.72422,-74.172574","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NJ
Newburgh,"41.503249,-74.01964","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NY
Stamford,"41.079857,-73.546028","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,CT
Norwalk,"41.092739,-73.419796","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,CT
Trenton,"40.223748,-74.764001","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NJ
Waterbury,"41.5585,-73.036685","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,CT
Norfolk,"36.923015,-76.244641",,,VA
Virginia Beach,"36.779322,-76.02402",,,VA
Newport News,"37.075978,-76.521719",,,VA
Hampton,"37.04803,-76.297149",,,VA
Portsmouth,"36.85943,-76.356269",,,VA
Suffolk,"36.697157,-76.634781",,,VA
Ocala,"29.180314,-82.148787","Ocala, FL",FHFA,FL
Odessa,"31.880378,-102.343406",,,TX
Midland,"32.029931,-102.109697",,,TX
Oklahoma City,"35.46708,-97.513657","Oklahoma City, OK",FHFA,OK
Norman,"35.240577,-97.345306","Oklahoma City, OK",FHFA,OK
Shawnee,"35.363903,-96.960453","Oklahoma City, OK",FHFA,OK
Omaha,"41.264675,-96.041927","Omaha-Council Bluffs, NE-IA",FHFA,NE
Council Bluffs,,"Omaha-Council Bluffs, NE-IA",FHFA,NE
Orlando,"28.415886,-81.29875","Orlando-Kissimmee-Sanford, FL",FHFA,FL
Owensboro,"37.757172,-87.117398","Owensboro, KY",FHFA,KY
Panama City,"30.167122,-85.672509","Panama City-Lynn Haven-Panama City Beach, FL",FHFA,FL
Parkersburg,"39.261353,-81.543376","Parkersburg-Marietta-Vienna, WV-OH",FHFA,WV
Marietta,,"Parkersburg-Marietta-Vienna, WV-OH",FHFA,WV
Pensacola,"30.441266,-87.189943","Pensacola-Ferry Pass-Brent, FL",FHFA,FL
Peoria,"40.752309,-89.617097",,,IL
Pekin,"40.567527,-89.6249",,,IL
Atlantic City,"39.377297,-74.451082","Philadelphia, PA  (MSAD)",FHFA,NJ
Philadelphia,"40.009376,-75.133346","Philadelphia, PA  (MSAD)",FHFA,PA
