Class,City,Location,RegionSeriesName,RegionNameSource,State
City,Rock Hill,,"Charlotte-Gastonia-Rock Hill, NC-SC",FHFA,NC
City,Kannapolis,"35.47658,-80.6386","Charlotte-Gastonia-Rock Hill, NC-SC",FHFA,NC
City,Concord,"35.392048,-80.635543","Charlotte-Gastonia-Rock Hill, NC-SC",FHFA,NC
City,Charlottesville,"38.037658,-78.485381","Charlottesville, VA",FHFA,VA
City,Chattanooga,"35.066464,-85.247065","Chattanooga, TN-GA",FHFA,TN
City,Cheyenne,"41.152195,-104.783238","Cheyenne, WY",FHFA,WY
City,Chicago,"41.837551,-87.681844","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
City,Aurora,"41.763455,-88.290099","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
City,Elgin,"42.039639,-88.321709","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
City,Joliet,"41.518066,-88.158354","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
City,Evanston,"42.046391,-87.694353","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
City,North Chicago,"42.316696,-87.859201","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
City,DeKalb,"41.930614,-88.74783","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
City,Gary,,"Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
City,East Chicago,,"Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
City,Kankakee,"41.103202,-87.867177","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
City,Kenosha,,"Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
City,Chico,"39.755159,-121.818797",,,CA
City,Paradise,"39.754192,-121.6064",,,CA
City,Cincinnati,"39.139902,-84.506447","Cincinnati-Middletown, OH-KY-IN",FHFA,OH
City,Hamilton,"39.394328,-84.565522","Cincinnati-Middletown, OH-KY-IN",FHFA,OH
City,Middletown,"39.502952,-84.364893","Cincinnati-Middletown, OH-KY-IN",FHFA,OH
City,Clarksville,"36.56643,-87.345216",,,TN
City,Hopkinsville,,,,TN
City,Akron,"41.080456,-81.52143","Cleveland-Elyria-Mentor, OH",FHFA,OH
City,Kent,"41.149143,-81.361122","Cleveland-Elyria-Mentor, OH",FHFA,OH
City,Cleveland,"41.478138,-81.679486","Cleveland-Elyria-Mentor, OH",FHFA,OH
City,Lorain,"41.438805,-82.179722","Cleveland-Elyria-Mentor, OH",FHFA,OH
City,Elyria,"41.373539,-82.108008","Cleveland-Elyria-Mentor, OH",FHFA,OH
City,Colorado Springs,"38.867255,-104.760749","Colorado Springs, CO",FHFA,CO
City,Columbia,"38.947939,-92.326097","Columbia, MO",FHFA,MO
City,Columbia,"34.029783,-80.896566","Columbia, SC",FHFA,SC
City,Columbus,"32.510197,-84.874946","Columbus, GA-AL",FHFA,GA
City,Columbus,"39.984799,-82.985044","Columbus, OH",FHFA,OH
City,Newark,"40.069732,-82.424925","Columbus, OH",FHFA,OH
City,Lancaster,"39.724737,-82.605275","Columbus, OH",FHFA,OH
City,Corpus Christi,"27.754252,-97.173385","Corpus Christi, TX",FHFA,TX
City,Corvallis,"44.569949,-123.278286","Corvallis, OR",FHFA,OR
City,Cumberland,"39.651739,-78.757948","Cumberland, MD-WV",FHFA,MD
City,Dallas,"32.794176,-96.765503","Dallas-Plano-Irving, TX  (MSAD)",FHFA,TX
City,Irving,"32.857748,-96.970022","Dallas-Plano-Irving, TX  (MSAD)",FHFA,TX
City,Denton,"33.215139,-97.141687","Dallas-Plano-Irving, TX  (MSAD)",FHFA,TX
City,Fort Worth,"32.779542,-97.346335","Dallas-Plano-Irving, TX  (MSAD)",FHFA,TX
City,Arlington,"32.700708,-97.124691","Dallas-Plano-Irving, TX  (MSAD)",FHFA,TX
City,Danville,"36.583334,-79.408071","Danville, VA",FHFA,VA
City,Davenport,"41.554104,-90.603997","Davenport-Moline-Rock Island, IA-IL",FHFA,IA
City,Moline,,"Davenport-Moline-Rock Island, IA-IL",FHFA,IA
City,Rock Island,,"Davenport-Moline-Rock Island, IA-IL",FHFA,IA
City,Dayton,"39.777394,-84.199632","Dayton, OH",FHFA,OH
City,Springfield,"39.933758,-83.795757","Dayton, OH",FHFA,OH
City,Fairborn,"39.795267,-84.011271","Dayton, OH",FHFA,OH
City,Daytona Beach,"29.197328,-81.088145",,,FL
City,Decatur,"34.573039,-86.991684","Decatur, AL",FHFA,AL
City,Decatur,"39.855983,-88.933746","Decatur, IL",FHFA,IL
City,Boulder,"40.027443,-105.25174","Denver-Aurora-Broomfield, CO",FHFA,CO
City,Longmont,"40.169853,-105.101841","Denver-Aurora-Broomfield, CO",FHFA,CO
City,Denver,"39.761849,-104.880625","Denver-Aurora-Broomfield, CO",FHFA,CO
City,Greeley,"40.414406,-104.771245","Denver-Aurora-Broomfield, CO",FHFA,CO
City,Des Moines,"41.573946,-93.616708","Des Moines-West Des Moines, IA",FHFA,IA
City,Ann Arbor,"42.275641,-83.731333","Detroit-Livonia-Dearborn, MI  (MSAD)",FHFA,MI
City,Detroit,"42.383038,-83.102237","Detroit-Livonia-Dearborn, MI  (MSAD)",FHFA,MI
City,Dearborn,"42.313057,-83.211488","Detroit-Livonia-Dearborn, MI  (MSAD)",FHFA,MI
City,Pontiac,"42.649228,-83.287363","Detroit-Livonia-Dearborn, MI  (MSAD)",FHFA,MI
City,Port Huron,"42.993766,-82.433743","Detroit-Livonia-Dearborn, MI  (MSAD)",FHFA,MI
City,Flint,"43.024425,-83.691983","Detroit-Livonia-Dearborn, MI  (MSAD)",FHFA,MI
City,Dothan,"31.233698,-85.406823","Dothan, AL",FHFA,AL
City,Dover,"39.160606,-75.521659","Dover, DE",FHFA,DE
City,Dubuque,"42.502385,-90.705102","Dubuque, IA",FHFA,IA
City,Duluth,"46.783229,-92.11871",,,MN
City,Superior,,,,MN
City,Eau Claire,"44.821307,-91.494844","Eau Claire, WI",FHFA,WI
City,El Paso,"31.84836,-106.426979","El Paso, TX",FHFA,TX
City,Elkhart,"41.691167,-85.965132","Elkhart-Goshen, IN",FHFA,IN
City,Goshen,"41.574921,-85.830793","Elkhart-Goshen, IN",FHFA,IN
City,Elmira,"42.093388,-76.80961","Elmira, NY",FHFA,NY
City,Enid,"36.405687,-97.869862",,,OK
City,Erie,"42.116594,-80.073503","Erie, PA",FHFA,PA
City,Eugene,"44.056748,-123.116207","Eugene-Springfield, OR",FHFA,OR
City,Springfield,"44.053947,-122.981225","Eugene-Springfield, OR",FHFA,OR
City,Evansville,"37.987734,-87.534703",,,IN
City,Henderson,,,,IN
City,Fargo,"46.865206,-96.829005",,,ND
City,Moorhead,,,,ND
City,Fayetteville,"35.08511,-78.980263","Fayetteville, NC",FHFA,NC
City,Fayetteville,"36.071561,-94.16654","Fayetteville-Springdale-Rogers, AR-MO",FHFA,AR
City,Springdale,"36.186549,-94.15304","Fayetteville-Springdale-Rogers, AR-MO",FHFA,AR
City,Rogers,"36.315975,-94.154618","Fayetteville-Springdale-Rogers, AR-MO",FHFA,AR
City,Flagstaff,"35.185217,-111.620726","Flagstaff, AZ-UT",FHFA,AZ
City,Florence,"34.830349,-87.666096","Florence, SC",FHFA,AL
City,Florence,"34.17756,-79.782594","Florence, SC",FHFA,SC
City,Fort Collins,"40.548216,-105.064833","Fort Collins-Loveland, CO",FHFA,CO
City,Loveland,"40.41708,-105.061855","Fort Collins-Loveland, CO",FHFA,CO
City,Fort Myers,"26.61901,-81.831956",,,FL
City,Cape Coral,"26.643119,-81.997331",,,FL
City,Fort Pierce,"27.430257,-80.335924",,,FL
City,Port St. Lucie,"27.280951,-80.383762",,,FL
City,Fort Smith,"35.349276,-94.370883","Fort Smith, AR-OK",FHFA,AR
City,Fort Walton Beach,"30.424738,-86.620332",,,FL
City,Fort Wayne,"41.088173,-85.14388","Fort Wayne, IN",FHFA,IN
City,Fresno,"36.782674,-119.794492","Fresno, CA",FHFA,CA
City,Madera,"36.963983,-120.080244","Fresno, CA",FHFA,CA
City,Gadsden,"34.009563,-86.015643","Gadsden, AL",FHFA,AL
City,Gainesville,"29.678831,-82.345878","Gainesville, FL",FHFA,FL
City,Glens Falls,"43.31116,-73.645287","Glens Falls, NY",FHFA,NY
City,Goldsboro,"35.379951,-77.973247","Goldsboro, NC",FHFA,NC
City,Grand Forks,"47.912789,-97.07501","Grand Forks, ND-MN",FHFA,ND
City,Grand Junction,"39.086366,-108.568747","Grand Junction, CO",FHFA,CO
City,Grand Rapids,"42.961156,-85.65557","Grand Rapids-Wyoming, MI",FHFA,MI
City,Muskegon,"43.228218,-86.255415","Grand Rapids-Wyoming, MI",FHFA,MI
City,Holland,"42.768074,-86.098598","Grand Rapids-Wyoming, MI",FHFA,MI
City,Great Falls,"47.501439,-111.299975","Great Falls, MT",FHFA,MT
City,Green Bay,"44.520676,-87.984169","Green Bay, WI",FHFA,WI
City,Greensboro,"36.096484,-79.827108",,,NC
City,Winston-Salem,"36.103262,-80.260578",,,NC
City,High Point,"35.98547,-79.990243",,,NC
City,Burlington,"36.082561,-79.459748",,,NC
City,Greenville,"35.596611,-77.375153","Greenville, NC",FHFA,NC
City,Greenville,"34.836902,-82.362997","Greenville, NC",FHFA,SC
City,Spartanburg,"34.942294,-81.926907","Greenville, NC",FHFA,SC
City,Anderson,"34.521166,-82.647326","Greenville, NC",FHFA,SC
City,Harrisburg,"40.275891,-76.88502",,,PA
City,Lebanon,"40.341192,-76.422735",,,PA
City,Carlisle,,,,PA
City,Hartford,"41.766045,-72.683339","Hartford-West Hartford-East Hartford, CT",FHFA,CT
City,Middletown,"41.549534,-72.657719","Hartford-West Hartford-East Hartford, CT",FHFA,CT
City,Hattiesburg,"31.307296,-89.317412","Hattiesburg, MS",FHFA,MS
City,Hickory,"35.741466,-81.32377",,,NC
City,Morganton,"35.740771,-81.700297",,,NC
City,Lenoir,"35.905667,-81.526969",,,NC
City,Honolulu,"21.325852,-157.845315","Honolulu, HI",FHFA,HI
City,Houma,"29.57863,-90.708032","Houma-Bayou Cane-Thibodaux, LA",FHFA,LA
City,Galveston,"29.18326,-94.969755","Houston-Sugar Land-Baytown, TX",FHFA,TX
City,Texas City,"29.433717,-94.892695","Houston-Sugar Land-Baytown, TX",FHFA,TX
City,Houston,"29.780472,-95.386343","Houston-Sugar Land-Baytown, TX",FHFA,TX
City,Baytown,"29.756974,-94.967955","Houston-Sugar Land-Baytown, TX",FHFA,TX
City,Conroe,"30.316017,-95.469993","Houston-Sugar Land-Baytown, TX",FHFA,TX
City,Huntington,"38.410651,-82.434689","Huntington-Ashland, WV-KY-OH",FHFA,WV
City,Ashland,,"Huntington-Ashland, WV-KY-OH",FHFA,WV
City,Huntsville,"34.784271,-86.538996","Huntsville, AL",FHFA,AL
City,Indianapolis,,"Indianapolis-Carmel, IN",FHFA,IN
City,Anderson,"40.089766,-85.689449","Indianapolis-Carmel, IN",FHFA,IN
City,Iowa City,"41.656041,-91.531272","Iowa City, IA",FHFA,IA
City,Jackson,,,,I 
City,Jackson,"32.315831,-90.212823","Jackson, MS",FHFA,MS
City,Jackson,"35.649137,-88.830597","Jackson, TN",FHFA,TN
City,Jacksonville,"30.337019,-81.661302","Jacksonville, FL",FHFA,FL
City,Jacksonville,"34.736866,-77.392666","Jacksonville, NC",FHFA,NC
City,Jamestown,"42.097603,-79.236135",,,NY
City,Janesville,"42.684699,-89.01317","Janesville, WI",FHFA,WI
City,Beloit,"42.523506,-89.01766","Janesville, WI",FHFA,WI
City,Johnson City,"36.338218,-82.377427",,,TN
City,Kingsport,"36.524936,-82.547384",,,TN
City,Bristol,"36.558788,-82.216961",,,TN
City,Bristol,"36.558788,-82.216961",,,TN
City,Johnstown,"40.326132,-78.919139","Johnstown, PA",FHFA,PA
City,Jonesboro,"35.819733,-90.67905","Jonesboro, AR",FHFA,AR
City,Joplin,"37.077509,-94.502262","Joplin, MO",FHFA,MO
City,Kalamazoo,"42.275164,-85.588501","Kalamazoo-Portage, MI",FHFA,MI
City,Battle Creek,"42.299176,-85.229267","Kalamazoo-Portage, MI",FHFA,MI
City,Kansas City,"39.125212,-94.551136","Kansas City, MO-KS",FHFA,MO
City,Kansas City,"39.125212,-94.551136","Kansas City, MO-KS",FHFA,MO
City,Olathe,,"Kansas City, MO-KS",FHFA,MO
City,Leavenworth,,"Kansas City, MO-KS",FHFA,MO
City,Killeen,"31.077669,-97.731952","Killeen-Temple-Fort Hood, TX",FHFA,TX
City,Temple,"31.105656,-97.382522","Killeen-Temple-Fort Hood, TX",FHFA,TX
City,Knoxville,"35.970875,-83.946479","Knoxville, TN",FHFA,TN
City,Oak Ridge,"35.966483,-84.290549","Knoxville, TN",FHFA,TN
City,Kokomo,"40.475317,-86.132763","Kokomo, IN",FHFA,IN
City,La Crosse,"43.825866,-91.224245","La Crosse, WI-MN",FHFA,WI
City,Lafayette,"30.211573,-92.031394","Lafayette, LA",FHFA,LA
City,Lafayette,"40.399425,-86.861699","Lafayette, IN",FHFA,IN
City,Lake Charles,"30.202699,-93.214742","Lake Charles, LA",FHFA,LA
City,Lakeland,"28.055964,-81.953682","Lakeland-Winter Haven, FL",FHFA,FL
City,Winter Haven,"28.045835,-81.732742","Lakeland-Winter Haven, FL",FHFA,FL
City,Lancaster,"40.042061,-76.30099","Lancaster, PA",FHFA,PA
City,Lansing,"42.709787,-84.556222","Lansing-East Lansing, MI",FHFA,MI
City,East Lansing,"42.748913,-84.482442","Lansing-East Lansing, MI",FHFA,MI
City,Laredo,"27.547681,-99.486931","Laredo, TX",FHFA,TX
City,Las Cruces,"32.326444,-106.789695","Las Cruces, NM",FHFA,NM
City,Las Vegas,"36.227712,-115.264045","Las Vegas-Paradise, NV",FHFA,NV
City,Lawrence,"38.960323,-95.263223","Lawrence, KS",FHFA,KS
City,Lawton,"34.617048,-98.4204","Lawton, OK",FHFA,OK
City,Lewiston,"44.089594,-70.172185","Lewiston-Auburn, ME",FHFA,ME
City,Auburn,"44.084537,-70.249649","Lewiston-Auburn, ME",FHFA,ME
City,Lexington-Fayette,,"Lexington-Fayette, KY",FHFA,KY
City,Lima,"40.740679,-84.112091","Lima, OH",FHFA,OH
City,Lincoln,"40.808957,-96.680354","Lincoln, NE",FHFA,NE
City,Little Rock,"34.725432,-92.358556","Little Rock-North Little Rock-Conway, AR",FHFA,AR
City,North Little Rock,"34.781873,-92.234937","Little Rock-North Little Rock-Conway, AR",FHFA,AR
City,Jacksonville,"34.878455,-92.132186","Little Rock-North Little Rock-Conway, AR",FHFA,AR
City,Conway,"35.074323,-92.467072","Little Rock-North Little Rock-Conway, AR",FHFA,AR
City,Longview,"32.519305,-94.76481",,,TX
City,Marshall,"32.539159,-94.353173",,,TX
City,Los Angeles,"34.019394,-118.410825","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
City,Long Beach,"33.809102,-118.155327","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
City,Pasadena,"34.160592,-118.139593","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
City,Lancaster,"34.693558,-118.175305","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
City,Santa Ana,"33.736478,-117.882593","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
City,Anaheim,"33.855497,-117.760071","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
City,Irvine,"33.678399,-117.771254","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
City,Riverside,"33.938143,-117.393168","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
City,San Bernardino,"34.139261,-117.295317","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
City,Palm Springs,"33.800898,-116.537993","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
City,Hemet,"33.735226,-116.994604","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
City,Temecula,"33.501923,-117.124563","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
City,Palm Desert,"33.738363,-116.363619","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
City,San Buenaventura (Ventura),"34.268127,-119.255026","Los Angeles-Long Beach-Glendale, CA  (MSAD)",FHFA,CA
City,Louisville,,"Louisville-Jefferson County, KY-IN",FHFA,KY
City,New Albany,,"Louisville-Jefferson County, KY-IN",FHFA,KY
City,Lubbock,"33.566479,-101.886677","Lubbock, TX",FHFA,TX
City,Lynchburg,"37.399016,-79.195458","Lynchburg, VA",FHFA,VA
City,Macon,"32.830953,-83.648918","Macon, GA",FHFA,GA
City,Madison,"43.087806,-89.430121","Madison, WI",FHFA,WI
City,Mansfield,"40.76672,-82.53082","Mansfield, OH",FHFA,OH
City,Mayaguez zona urbana,,,,PR
City,McAllen,"26.218513,-98.246145","McAllen-Edinburg-Mission, TX",FHFA,TX
City,Edinburg,"26.314392,-98.163196","McAllen-Edinburg-Mission, TX",FHFA,TX
City,Mission,"26.202638,-98.32148","McAllen-Edinburg-Mission, TX",FHFA,TX
City,Medford,"42.336896,-122.854244",,,OR
City,Ashland,"42.192172,-122.700426",,,OR
City,Melbourne,"28.116326,-80.645713",,,FL
City,Titusville,"28.573368,-80.819404",,,FL
City,Palm Bay,"27.985624,-80.662621",,,FL
City,Memphis,"35.103543,-89.978498","Memphis, TN-MS-AR",FHFA,TN
City,West Memphis,,"Memphis, TN-MS-AR",FHFA,TN
City,Merced,"37.305577,-120.477717","Merced, CA",FHFA,CA
City,Fort Lauderdale,"26.141305,-80.143896","Miami-Miami Beach-Kendall, FL  (MSAD)",FHFA,FL
City,Miami,"25.775163,-80.208615","Miami-Miami Beach-Kendall, FL  (MSAD)",FHFA,FL
City,Miami Beach,"25.815265,-80.139721","Miami-Miami Beach-Kendall, FL  (MSAD)",FHFA,FL
City,Milwaukee,"43.063348,-87.966695","Milwaukee-Waukesha-West Allis, WI",FHFA,WI
City,Waukesha,"43.009084,-88.245062","Milwaukee-Waukesha-West Allis, WI",FHFA,WI
City,Racine,"42.728284,-87.807086","Milwaukee-Waukesha-West Allis, WI",FHFA,WI
City,Minneapolis,"44.963324,-93.268284","Minneapolis-St. Paul-Bloomington, MN-WI",FHFA,MN
City,St. Paul,"44.94887,-93.103855","Minneapolis-St. Paul-Bloomington, MN-WI",FHFA,MN
City,Missoula,"46.869322,-114.010346","Missoula, MT",FHFA,MT
City,Mobile,"30.668426,-88.100226","Mobile, AL",FHFA,AL
City,Modesto,"37.660909,-120.989052","Modesto, CA",FHFA,CA
City,Turlock,"37.505214,-120.858764","Modesto, CA",FHFA,CA
City,Monroe,"32.519552,-92.077482","Monroe, LA",FHFA,LA
City,Montgomery,"32.346251,-86.268593","Montgomery, AL",FHFA,AL
City,Muncie,"40.198978,-85.393346","Muncie, IN",FHFA,IN
City,Myrtle Beach,"33.710801,-78.885862","Myrtle Beach-North Myrtle Beach-Conway, SC",FHFA,SC
City,Naples,"26.14994,-81.795215","Naples-Marco Island, FL",FHFA,FL
City,Nashville-Davidson,,"Nashville-Davidson--Murfreesboro--Franklin, TN",FHFA,TN
City,Murfreesboro,"35.852209,-86.416062","Nashville-Davidson--Murfreesboro--Franklin, TN",FHFA,TN
City,New London,"41.330607,-72.093918",,,CT
City,Norwich,"41.54786,-72.089488",,,CT
City,New Orleans,"30.068636,-89.939007","New Orleans-Metairie-Kenner, LA",FHFA,LA
City,Slidell,"30.289335,-89.783279","New Orleans-Metairie-Kenner, LA",FHFA,LA
City,Bridgeport,"41.187386,-73.195734","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,CT
City,Danbury,"41.401839,-73.472285","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,CT
City,Poughkeepsie,,"New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NT
City,Jersey City,"40.711417,-74.06476","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NJ
City,Bayonne,"40.662411,-74.110228","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NJ
City,Dover,"40.8856,-74.559163","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NJ
City,New Haven,"41.310809,-72.924953","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,CT
City,Meriden,"41.536777,-72.794543","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,CT
City,New York,"40.664274,-73.9385","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NY
City,White Plains,"41.025336,-73.752137","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NY
City,Newark,"40.72422,-74.172574","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NJ
City,Newburgh,"41.503249,-74.01964","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NY
City,Stamford,"41.079857,-73.546028","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,CT
City,Norwalk,"41.092739,-73.419796","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,CT
City,Trenton,"40.223748,-74.764001","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,NJ
City,Waterbury,"41.5585,-73.036685","New York-White Plains-Wayne, NY-NJ  (MSAD)",FHFA,CT
City,Norfolk,"36.923015,-76.244641",,,VA
City,Virginia Beach,"36.779322,-76.02402",,,VA
City,Newport News,"37.075978,-76.521719",,,VA
City,Hampton,"37.04803,-76.297149",,,VA
